np_classifier_class,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
Cinnamic acids and derivatives,208.11,223.3766677,0.931655047,3,0,27.69,5,1,6,3,0,7,0.714285714,0,0,0.695,1.942,0.333,7,0.652,0,0,0,0,-2.57631126,2.411905865,2.409482343,26.59943944,282.7708877,10.04333258,4.176439979,-4.694771687,-4.78888855,0.007064903,0.661994338,0.004258674,0.003299654,0.341044486,0.264366806,0.488367558,0.98818922,0.978206158,0.521295071,0.994477212,0.908197105,0.890634537,85.32423091,0.168807213,15.75569941,0.368428588,0.027136475,0.480793834,0.999717176,0.753647685,0.999260485,0.001253748,0.753318608,0.994595349,0.75268656,0.928458929,0.660938919,0.99999845,0.044626091,7.214702399,1.573287574,1.882399443,3.519752136,4.535442664,3.916061599,0.110365257,0.637203038,0.398880363,0.369465142,0.425092459,0.280570179,0.830200493,0.677765012,0.974454165,0.986473203,0.857815683,0.366139978,0.754837811,0.182168335,0.254535854,0.158091426,0.060056739,0.0661036,0.104107223,0.227210179,8.04E-05,2.96E-05,9.69E-08,2.03E-05,0.002239349,8.03E-06,2.79E-08,0.013349746,3.07E-08,3.80E-05,0.000610006,8.87E-07
Anthraquinones and anthrones,286.05,273.9765506,1.044067455,6,5,118.22,1,3,14,6,0,17,0.058823529,0,1,0.266,2.851,0,19,1.418,0,0,0,0,-3.018705038,1.53354787,1.568623587,273.3262691,335.1579974,5.625678953,3.843510085,-5.842663619,-4.912012734,0.977912307,0.00030062,0.026830532,0.001060903,0.028911054,0.024601102,0.504024088,0.944754958,0.918261409,0.003555589,0.138330713,0.000352721,0.688676238,93.12329542,-0.259704507,7.835660669,0.999993205,0.439704061,0.097713128,0.000205568,0.035125367,0.470846415,0.471206486,0.849326193,0.161665991,0.001043328,2.54E-05,3.47E-09,0.997521937,0.578089356,4.427695598,1.631343719,1.035572343,3.539215597,4.554704926,4.058271624,0.025418619,0.465837449,0.502687275,0.743854403,0.415216684,0.874018848,0.862550497,0.454275906,0.040900495,0.997675478,0.98796767,0.488883436,0.043142293,0.212717056,0.076232351,0.234351888,0.941752434,0.220367849,0.837097347,0.815489054,0.973829925,0.01755178,0.065614194,0.018987613,0.831893921,0.089999221,0.200657591,0.934876263,0.144875482,0.345964819,0.997724593,0.861562431
Flavones,478.11,439.2333499,1.088510242,12,7,199.51,5,4,10,12,0,24,0.208333333,5,0,0.238,3.998,0.318,90.31,1.904,1,0,1,0,-3.476101509,0.949405426,-0.012521637,242.861707,376.8186942,5.524728818,5.098558847,-6.287144366,-5.269828355,0.994632125,1.63E-05,0.442938387,0.941460386,0.978258263,0.999180928,0.999702224,0.044126749,0.985319018,0.733733892,0.021152806,0.002541664,0.963651419,79.30990421,-0.02424865,19.4023303,3.76E-06,6.58E-06,2.27E-11,6.82E-07,5.36E-08,0.844123006,4.79E-09,0.03578344,0.040228773,6.16E-06,0.000289995,5.88E-17,0.841614246,0.007290058,4.880340289,2.668569671,0.462946227,2.986913457,4.789234535,3.779117067,0.041694343,0.433671534,0.827045858,0.571569622,0.333207369,0.493836373,0.751764953,0.346129358,3.89E-05,0.520315051,0.082293242,0.407371908,0.018124161,0.888330758,0.036985762,0.015660539,0.753456116,0.032698378,0.341366351,0.504038453,0.471215099,0.306792051,0.136868864,0.057202779,0.243131086,0.098204024,0.001179613,0.676398814,0.003319858,0.159926936,0.252311289,0.216488838
Flavones,344.09,334.6547332,1.028194034,7,2,98.36,4,3,10,7,0,18,0.222222222,0,0,0.751,2.372,0.167,19,1.225,0,0,0,0,-4.243703167,2.371839046,2.464878119,225.0197058,350.761684,7.341625912,4.160269931,-5.168922482,-4.771328878,0.066534854,0.8417539,0.253399014,0.12201035,0.255450249,0.461034358,0.978426727,0.989535749,0.999372423,0.975836635,0.894092083,0.008416165,0.938386977,97.08273289,-0.58534807,2.870672851,0.997111678,0.425901711,0.568380177,0.016085107,0.023001447,0.977813125,0.004145667,0.984263957,0.487882465,0.567842543,0.007363731,2.84E-05,0.989586294,0.704327643,3.35228951,1.581931683,0.922999681,3.547971985,4.43383948,3.964507598,0.089352161,0.478937209,0.707410395,0.522066116,0.425046325,0.629309118,0.651732564,0.715197921,0.503608584,0.989027023,0.785101831,0.42736426,0.163196683,0.13595736,0.218682542,0.120202713,0.559801698,0.105645366,0.230017155,0.454935968,0.990225255,0.323096424,0.055089798,0.217379391,0.478346735,0.020201052,0.027712824,0.757629752,0.493559241,0.746828496,0.990791202,0.882005811
Flavones,388.12,378.0369306,1.026672181,8,1,96.59,6,3,10,8,0,18,0.333333333,0,1,0.688,2.46,0.25,20,1.083,0,0,0,0,-3.770028624,2.452817052,2.252063627,161.0173738,323.3383294,7.244997262,4.791435567,-4.983682128,-4.686503961,0.030396031,0.885383189,0.2462309,0.021050215,0.068132401,0.078371704,0.880963765,0.846235037,0.997169316,0.976057827,0.994213521,0.102670841,0.981410146,97.19648016,-0.283744569,2.307813457,0.97554034,0.892258644,0.366233855,0.169090003,0.611885488,0.102800399,0.000519987,0.958193779,0.690935194,0.994282365,0.42325151,0.000457494,0.919718921,0.604761481,5.163436248,1.760734535,1.472402345,3.571944271,4.768383253,3.939661153,0.10752809,0.52330327,0.705963552,0.378687412,0.400287747,0.398960471,0.60665822,0.756438911,0.439807385,0.931901157,0.817242265,0.407730252,0.397099137,0.174741283,0.431175053,0.219572276,0.191643238,0.144397154,0.206794247,0.458159029,0.96935463,0.560639083,0.079405755,0.063780554,0.350817174,0.002375125,0.007123786,0.313820511,0.558432937,0.230624944,0.906505287,0.766602099
Flavones,342.11,343.1604915,0.996938775,6,0,67.13,5,3,10,6,0,18,0.277777778,0,0,0.707,2.151,0.211,18,0.775,0,0,0,0,-4.249624747,2.717284398,2.47655122,146.3029168,321.0011079,8.905943944,3.939089509,-4.546800442,-4.562132763,0.038470663,0.938304067,0.081156433,0.13611275,0.33954978,0.266854048,0.9509064,0.957513154,0.99920553,0.98390007,0.994950175,0.033346221,0.959251463,91.97888974,-0.289645488,6.342708649,0.554258287,0.946218789,0.787264645,0.506734729,0.66034019,0.988003731,0.166941822,0.998843908,0.996008754,0.855580986,0.740513623,0.014559827,0.999950886,0.94948113,6.658432248,0.866195238,1.783282084,3.804101179,5.070913682,4.30775035,0.190206394,0.509503961,0.889516056,0.536843419,0.3701998,0.553085625,0.376322031,0.840127289,0.515111148,0.966233253,0.764147758,0.421214759,0.454484612,0.146728441,0.374988258,0.215396389,0.341092825,0.096742563,0.133193254,0.426317811,0.983834147,0.85141474,0.131454498,0.475970566,0.746309817,0.040786568,0.020996686,0.762325883,0.909509778,0.253605753,0.89131844,0.90540421
Flavones,580.14,573.704144,1.011218075,10,3,148.8,6,6,10,10,0,36,0.166666667,0,0,0.213,2.959,0.091,36,0.986,0,0,1,1,-6.323464581,3.110086837,4.418689886,339.1193253,514.5653657,8.371305441,1.6098625,-5.058163786,-4.78481762,0.01425021,0.299601883,0.515668392,0.010476053,0.265336394,0.814103171,0.991238439,0.958727419,0.997897267,0.991313756,0.992748797,0.000283266,0.862939239,98.01733682,-0.056285678,1.216719939,0.999987721,0.97279346,0.041823223,5.79E-06,0.001373066,0.920678079,0.992959023,0.999992967,0.999837041,0.006163601,0.132933185,4.00E-09,0.999997616,0.897987843,2.307448499,1.444322215,1.344319823,4.582267118,5.401158707,5.016451113,0.13352558,0.493663579,0.996014714,0.796463966,0.57000649,0.97805208,0.180173412,0.91317457,0.002022816,0.98324585,0.920437217,0.49416545,0.015076537,0.062842548,0.085792884,0.036539793,0.997812271,0.151832432,0.543608844,0.934438825,0.999822557,0.683390677,0.539860666,0.936445951,0.9920367,0.739760876,0.287204295,0.995279312,0.923279166,0.961156189,0.99992156,0.997197986
Anthraquinones and anthrones,208.05,221.5196576,0.939194301,2,0,34.14,0,3,14,2,0,18,0,0,0,0.568,1.332,0,30,0.108,0,1,0,0,-5.247450784,3.036234806,3.171034358,199.6494575,368.0988896,8.121413988,0.870386029,-4.223333158,-4.612586063,0.045896687,0.999939561,0.046256654,0.007845938,0.000128627,0.357379675,0.799944714,0.975092113,0.908176541,0.135799348,0.794521928,0.183024079,0.072757781,95.43042894,0.210860504,5.189297736,0.999997854,0.999988437,0.04711036,0.839607298,0.060164969,2.35E-06,0.763121367,1.18E-09,0.273444921,0.018761896,1.21E-05,0.000154326,0.940097988,0.964074492,6.847352273,1.96991071,1.939412006,4.366339911,5.351699219,4.983553528,0.165107414,0.684352934,0.777156889,0.73382175,0.303878605,0.259733826,0.815375209,0.831946135,0.388134211,0.996130228,0.522841156,0.663483918,0.561706483,0.147301674,0.591700256,0.21365872,0.158579692,0.050646685,0.2256708,0.296850592,0.923335254,0.449222386,0.100020982,0.597203612,0.927686393,0.241759837,0.04657672,0.776402771,0.679092944,0.073937476,0.909907043,0.353078187
Cinnamic acids and derivatives,474.17,441.0396594,1.075118733,12,7,187.76,9,3,6,12,0,18,0.5,8,1,0.203,4.519,0.619,77.647,2.247,1,0,1,0,-1.894830861,0.011963384,-0.707986733,206.4698358,349.9221085,6.549652361,3.9628183,-6.373208995,-5.238780876,0.999517322,5.75E-07,0.931190968,0.996123035,0.994832146,0.999046388,0.999739353,0.018252822,0.872021794,0.374058783,0.000688344,0.000685764,0.902574837,51.07538744,-0.58916372,54.3446353,6.00E-09,9.63E-10,3.67E-12,0.00012487,2.49E-09,0.398108512,1.20E-08,0.002000627,7.87E-05,2.37E-06,5.29E-09,5.11E-09,0.120112181,0.000492455,1.916118746,2.077226878,0.236208464,2.337279381,4.183225341,3.097911494,0.053444698,0.371323615,0.052803218,0.926679015,0.160053611,0.092643902,0.967701972,0.205111995,1.66E-07,0.013550429,0.017915398,0.239847839,0.409856468,0.911170244,0.023007823,0.09269087,0.057873122,0.107027769,0.082661718,0.690784812,0.002635827,0.186468497,0.032478068,0.000395392,0.310863256,0.007281053,2.01E-06,0.118204907,0.000384692,0.001112422,0.00294098,0.00194626
Cinnamic acids and derivatives,342.13,327.9552845,1.043221488,8,5,128.84,6,2,6,8,0,13,0.461538462,5,0,0.456,3.655,0.5,47.833,1.947,0,0,0,0,-1.810955943,0.364051716,-0.201463189,170.3130262,310.0923934,7.283611131,5.327045654,-6.104807702,-5.229984818,0.975674689,7.02E-05,0.672545671,0.961583469,0.948034603,0.994021569,0.997726156,0.027565502,0.932887018,0.684840739,0.011753664,0.008340699,0.863890648,56.78136157,-0.522050491,45.72339425,4.98E-08,3.09E-06,1.06E-09,0.005315587,1.52E-06,0.942753553,2.46E-06,0.834914148,0.00053677,0.002387295,8.22E-05,2.76E-07,0.382354975,0.006396471,4.337971522,1.869305879,0.269817141,2.413483638,4.03849128,3.156071941,0.087782152,0.533413768,0.09545555,0.764438033,0.243938848,0.127146497,0.943030417,0.171748534,3.11E-05,0.191456661,0.064672261,0.32266897,0.416020036,0.843126357,0.039335422,0.091168366,0.02402512,0.075534701,0.135629281,0.517475605,0.035725318,0.153721765,0.069794193,0.003471492,0.376781046,0.016628463,0.000103018,0.685197413,0.002354944,0.034383364,0.035217326,0.026010578
